"port_code","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
"ESSDR","M","N",11,22,13,1,1,0,1,"U","U","Y","Y",12,43.4666666666667,-3.78333333333333
"ESSVQ","M","Y",8,NA,6,1,1,0,0,"U","U","Y","Y",12,37.3666666666667,-6
"ESTAR","L","U",20,23,20,1,1,1,1,"Y","Y","Y","Y",12,41.1,1.23333333333333
"ESTOR","V","U",11,11,9,0,1,0,1,"U","Y","U","U",75,37.9666666666667,-0.683333333333333
"ESVLC","M","U",16,17,17,1,1,1,1,"U","U","Y","Y",12,39.45,-0.316666666666667
"ESVGO","M","N",23,23,17,1,1,0,1,"Y","Y","Y","Y",12,42.2333333333333,-8.71666666666667
"ESVIL","V","U",20,5,11,0,1,0,1,"U","U","U","Y",12,42.6,-8.76666666666667
"ESVLG","V","U",6,6,6,1,1,0,1,"U","U","U","Y",12,41.2333333333333,1.73333333333333
"IEBTH","V","U",9,22,9,0,0,0,0,"U","U","U","U",0,51.6833333333333,-9.45
"IECTB","V","Y",8,8,5,0,0,0,0,"U","U","U","U",0,51.65,-9.91666666666667
"IECOB","M","U",11,17,8,1,1,0,1,"U","U","Y","U",37,51.85,-8.3
"IEORK","M","Y",11,17,11,1,1,0,1,"U","U","Y","U",37,51.85,-8.26666666666667
"IEDRO","V","Y",5,2,6,0,1,0,1,"Y","Y","Y","Y",12,53.7166666666667,-6.3
"IEMTL","M","Y",10,20,11,1,1,1,1,"Y","Y","Y","U",37,53.35,-6.25
"IEFEN","V","U",5,5,6,1,1,0,0,"U","Y","U","Y",12,52.2666666666667,-9.86666666666667
"IEFOV","L","U",6,23,23,1,1,0,0,"U","U","Y","Y",12,52.6166666666667,-9.11666666666667
"IEGWY","V","N",3,9,6,1,1,0,0,"U","U","Y","U",37,53.2666666666667,-9.05
"IEGRN","V","Y",6,16,4,1,1,0,1,"U","Y","Y","Y",12,54.0333333333333,-6.13333333333333
"IEKBS","V","U",23,23,11,0,1,0,1,"Y","Y","Y","Y",12,54.6333333333333,-8.45
"IEKLR","V","U",5,8,5,0,1,0,0,"U","U","Y","Y",12,52.6333333333333,-9.5
"IELMK","S","Y",2,11,5,1,1,0,0,"U","U","U","Y",12,52.6333333333333,-8.61666666666667
"IENRS","S","Y",5,5,6,1,1,0,1,"Y","U","Y","Y",12,52.3833333333333,-6.95
"IERAT","V","U",9,17,6,0,1,0,0,"U","U","U","U",0,55.1,-7.53333333333333
"IEROE","S","Y",7,6,7,0,1,0,0,"U","U","U","Y",12,52.25,-6.33333333333333
"IESLI","V","N",2,11,3,1,1,0,0,"U","U","U","Y",12,54.2666666666667,-8.46666666666667
"IETAR","V","Y",19,11,2,0,0,0,0,"U","U","U","U",0,52.5833333333333,-9.36666666666667
"IEWAT","V","Y",7,8,8,1,1,1,0,"U","U","Y","Y",12,52.2666666666667,-7.11666666666667
"IEWES","V","U",2,8,3,1,0,0,0,"N","N","N","Y",12,53.8,-9.53333333333333
"GRACL","V","Y",NA,23,16,0,1,0,0,"U","Y","U","U",75,38.9,22.8166666666667
"GRGIE","V","N",11,23,5,0,0,0,1,"U","U","U","U",0,38.25,22.0833333333333
"GRAXD","M","U",9,9,9,1,1,1,1,"U","U","Y","Y",12,40.8333333333333,25.8833333333333
